Rho,Mean_Time,Mean_Msg,Rho_Emp,CI
0.8,770.223919,0.27216100000000004,0.8,25.91051830535525
0.82,902.2803319999999,0.25750700000000004,0.82,32.62138608365868
0.84,1003.364061,0.25601299999999994,0.85,42.99106685838977
0.86,1146.306674,0.252328,0.86,42.87330890685301
0.88,1464.465541,0.23828099999999997,0.89,81.74334849437976
0.9,1747.629091,0.220478,0.9,102.04162282068711
0.92,2110.4822240000003,0.21161100000000005,0.92,96.44237827264173
0.94,2745.7547759999998,0.203912,0.94,183.83986419146797
0.96,3996.5599119999983,0.19339900000000002,0.97,250.32086984803163
0.97,4251.690541999999,0.190481,0.98,304.66265932932174
0.98,4657.644081,0.188437,0.99,283.37121882950623
0.99,5530.761383,0.187581,1.0,386.552330099524

