Rho,Mean_Time,Mean_Msg,Rho_Emp,CI
0.8,167.60903166666668,40.0,0.79,3.438910411677859
0.82,177.38063499999998,40.0,0.81,3.7160761696401035
0.84,191.36505666666662,40.0,0.83,3.9689786635997106
0.86,211.06332499999996,40.0,0.85,4.537449701545489
0.88,239.44166500000009,40.0,0.87,8.656230300687456
0.9,253.44164500000002,40.0,0.88,14.265155662462394
0.92,302.8537216666666,40.0,0.91,17.68605872199464
0.94,393.58114666666665,40.0,0.93,29.69965432754879
0.96,456.38265833333327,40.0,0.94,43.9103533243551
0.97,491.9837100000001,40.0,0.96,36.5659339680605
0.99,692.7576549999999,40.0,0.97,66.84232511807076
1,984.1688350000003,40.0,0.99,153.17982646586228
