Rho,Mean_Time,Mean_Msg,Rho_Emp,CI
0.8,237.8201066666667,6.0,0.8,5.023480636710495
0.82,261.2143316666666,6.0,0.82,7.883137002496353
0.84,284.78174666666666,6.0,0.84,6.832101079991899
0.86,310.25620000000004,6.0,0.85,7.951552436698913
0.88,356.048275,6.0,0.87,13.684718360393802
0.9,396.4209383333333,6.0,0.89,17.10399131701074
0.92,471.81294166666675,6.0,0.91,27.881241278961003
0.94,560.6748400000001,6.0,0.93,30.9829637663866
0.97,824.1871950000001,6.0,0.96,66.12117802587595
0.98,947.2600366666666,6.0,0.97,86.57372176038031
0.99,1381.6416283333335,6.0,0.99,219.0811605103621
